"No.","year","Ref.","filler type","function","filler size/nm","BET","cage size/A","aperture size/A","loading amout","","matrix type","","thickness/μm","","","","T/℃","P/bar","Control CH4 permeability","Control CO2 permeability","Control CO2/CH4 selectivity","Relative CH4 permeability","Relative CO2 permeability","Relative CO2/CH4 selectivity"
"232","","","Fe-BTC","","200","1500","8.5","5.8","25.00%","","pebax 1657","","","","","","25","3","3.84 ","70.67 ","18.40 ","1.76 ","2.10 ","1.19 "
"233","","","Fe-BTC","","200","1500","8.5","5.8","30.00%","","pebax 1657","","","","","","25","3","3.84 ","70.67 ","18.40 ","4.88 ","5.70 ","1.17 "
"234","","","Fe-BTC","","200","1500","8.5","5.8","40.00%","","pebax 1657","","","","","","25","3","3.84 ","70.67 ","18.40 ","9.01 ","6.02 ","0.67 "
"236","2018","25","Zn(pyrz)2(SiF6)","","110","","3.8","3.8","10.00%","","6FDA-TMPDA","","40","","","","25","1","20.00 ","590.00 ","29.50 ","1.25 ","1.42 ","1.14 "
"237","","","Zn(pyrz)2(SiF6)","","110","","3.8","3.8","20.00%","","6FDA-TMPDA","","40","","","","25","1","20.00 ","590.00 ","29.50 ","1.45 ","1.90 ","1.31 "
"239","2015","26","Zn(pyrz)2(SiF6)","","5700","","3.8","3.8","10.00%","","PEGDA-PEGMA-65","","450","","","","25","1","30.00 ","450.00 ","15.00 ","0.77 ","1.20 ","1.57 "
"240","","","Zn(pyrz)2(SiF6)","","860","","3.8","3.8","10.00%","","PEGDA-PEGMA-65","","450","","","","25","1","30.00 ","450.00 ","15.00 ","0.77 ","1.38 ","1.80 "
"241","","","Zn(pyrz)2(SiF6)","","860","","3.8","3.8","20.00%","","PEGDA-PEGMA-65","","450","","","","25","1","30.00 ","450.00 ","15.00 ","0.67 ","1.31 ","1.97 "
"247","2020","27","NOTT-300","","900","1370","6.50 ","6.50 ","10.00%","","pebax 1657","","60","","","","25.0 ","10.0 ","3.80 ","82.15 ","21.62 ","1.11 ","1.17 ","1.06 "
"248","","","NOTT-300","","900","1370","6.50 ","6.50 ","20.00%","","pebax 1657","","60","","","","25.0 ","10.0 ","3.80 ","82.15 ","21.62 ","1.50 ","1.77 ","1.18 "
"249","","","NOTT-300","","900","1370","6.50 ","6.50 ","30.00%","","pebax 1657","","60","","","","25.0 ","10.0 ","3.80 ","82.15 ","21.62 ","2.49 ","3.21 ","1.29 "
"250","","","NOTT-300","","900","1370","6.50 ","6.50 ","40.00%","","pebax 1657","","60","","","","25.0 ","10.0 ","3.80 ","82.15 ","21.62 ","2.84 ","4.81 ","1.69 "
"252","2015","28","sod-ZMOF","","2000","33","1.6","9.6","5.00%","","Matrimid 5218","","47.5","","","","30","4","0.15 ","5.59 ","37.27 ","1.27 ","1.22 ","0.96 "
"253","","","sod-ZMOF","","2000","33","1.6","9.6","10.00%","","Matrimid 5218","","47.5","","","","30","4","0.15 ","5.59 ","37.27 ","1.40 ","1.35 ","0.96 "
"254","","","sod-ZMOF","","2000","33","1.6","9.6","20.00%","","Matrimid 5218","","47.5","","","","30","4","0.15 ","5.59 ","37.27 ","2.47 ","2.18 ","0.88 "
"256","2018","29","LaBTB","","","","6","6","5.00%","","6FDA–DAM","","75","","","","20","0.35","18.54 ","471.00 ","25.40 ","0.92 ","1.09 ","1.18 "
"257","","","LaBTB","","","","6","6","10.00%","","6FDA–DAM","","75","","","","20","0.35","18.54 ","471.00 ","25.40 ","1.39 ","1.48 ","1.07 "
"258","","","LaBTB","","","","6","6","15.00%","","6FDA–DAM","","75","","","","20","0.35","18.54 ","471.00 ","25.40 ","1.24 ","1.19 ","0.96 "
"259","","","LaBTB","","","","6","6","20.00%","","6FDA–DAM","","75","","","","20","0.35","18.54 ","471.00 ","25.40 ","0.97 ","1.07 ","1.11 "
"261","","","LaBTB","","","","6","6","5.00%","","Matrimid 5218","","75","","","","20","0.35","0.30 ","8.50 ","28.00 ","0.72 ","1.06 ","1.48 "
"262","","","LaBTB","","","","6","6","10.00%","","Matrimid 5218","","75","","","","20","0.35","0.30 ","8.50 ","28.00 ","0.71 ","1.09 ","1.54 "
"263","","","LaBTB","","","","6","6","15.00%","","Matrimid 5218","","75","","","","20","0.35","0.30 ","8.50 ","28.00 ","0.62 ","1.20 ","1.94 "
"264","","","LaBTB","","","","6","6","20.00%","","Matrimid 5218","","75","","","","20","0.35","0.30 ","8.50 ","28.00 ","0.70 ","1.33 ","1.89 "
"266","2018","30","Y-fum-fcu-MOF","","","691","7.9","4.7","20.00%","","6FDA-DAM","","","","","","-20","3.5","6.55 ","635.00 ","97.00 ","1.56 ","1.11 ","0.72 "
"267","","","Y-fum-fcu-MOF","","","691","7.9","4.7","20.00%","","6FDA-DAM","","","","","","0","3.5","6.55 ","635.00 ","97.00 ","2.28 ","1.13 ","0.49 "
"268","","","Y-fum-fcu-MOF","","","691","7.9","4.7","20.00%","","6FDA-DAM","","","","","","35","3.5","6.55 ","635.00 ","97.00 ","4.20 ","1.05 ","0.25 "
"269","","","Y-fum-fcu-MOF","","","691","7.9","4.7","20.00%","","6FDA-DAM","","","","","","50","3.5","6.55 ","635.00 ","97.00 ","10.05 ","0.98 ","0.10 "
"270","","","Y-fum-fcu-MOF","","","691","7.9","4.7","20.00%","","6FDA-DAM","","","","","","65","3.5","6.55 ","635.00 ","97.00 ","16.66 ","0.94 ","0.06 "
"272","2019","31","Mg–MOF–74","","3000","325","11","11","5.00%","","PVAc","","60","","","","35","6","0.07 ","0.71 ","10.14 ","1.00 ","1.21 ","1.21 "
"273","","","Mg–MOF–74","","3000","325","11","11","15.00%","","PVAc","","60","","","","35","6","0.07 ","0.71 ","10.14 ","1.57 ","2.42 ","1.54 "
"274","","","Mg–MOF–74","","3000","325","11","11","20.00%","","PVAc","","60","","","","35","6","0.07 ","0.71 ","10.14 ","1.57 ","3.41 ","2.17 "
"275","","","Mg–MOF–74","","3000","402","11","11","20.00%","150,24","PVAc","","60","","","","35","6","0.07 ","0.71 ","10.14 ","2.71 ","6.62 ","2.44 "
"276","","","Mg–MOF–74","","3000","355","11","11","20.00%","150,36","PVAc","","60","","","","35","6","0.07 ","0.71 ","10.14 ","3.14 ","5.61 ","1.78 "
"278","2009","32","MOF-5","","100","3000","11","11","10.00%","","Matrimid 5218","","35","","","","35.0 ","2.0 ","0.22 ","9.00 ","40.91 ","1.00 ","1.23 ","1.23 "
"279","","","MOF-5","","100","3000","11","11","20.00%","","Matrimid 5218","","35","","","","35.0 ","2.0 ","0.22 ","9.00 ","40.91 ","1.55 ","1.53 ","0.99 "
"280","","","MOF-5","","100","3000","11","11","30.00%","","Matrimid 5218","","35","","","","35.0 ","2.0 ","0.22 ","9.00 ","40.91 ","2.05 ","2.24 ","1.10 "
"282","2014","33","MOP-18","","5000","","15","10","23.00%","note:good solubility, inimate contact with Matrimid","Matrimid 5218","","22","","","","35.0 ","2.6 ","0.22 ","7.33 ","33.32 ","1.86 ","1.28 ","0.69 "
"283","","","MOP-18","","5000","","15","10","33.00%","","Matrimid 5218","","22","","","","35.0 ","2.6 ","0.22 ","7.33 ","33.32 ","2.95 ","1.91 ","0.65 "
"284","","","MOP-18","","5000","","15","10","44.00%","","Matrimid 5218","","74","","","","35.0 ","2.6 ","0.22 ","7.33 ","33.32 ","4.32 ","2.13 ","0.49 "
"286","2014","34","Fe(BTC)","","50000","1500","8.5","5.5","10.00%","","Matrimid 5218","","61.5","","","","35","5","0.35 ","8.92 ","25.20 ","1.00 ","1.01 ","1.01 "
"287","","","Fe(BTC)","","50000","1500","8.5","5.5","20.00%","","Matrimid 5218","","61.5","","","","35","5","0.35 ","8.92 ","25.20 ","1.09 ","1.17 ","1.07 "
"288","","","Fe(BTC)","","50000","1500","8.5","5.5","30.00%","","Matrimid 5218","","61.5","","","","35","5","0.35 ","8.92 ","25.20 ","1.17 ","1.50 ","1.28 "
"290","2019","35","[Ni3(HCOO)6]","","400","293","4.6","4.6","7.00%","","BTDA-TDI/MDI (P84)","","","","","","30","5","0.02 ","0.72 ","44.00 ","1.02 ","1.46 ","1.43 "
"291","","","[Ni3(HCOO)6]","","400","293","4.6","4.6","15.00%","","BTDA-TDI/MDI (P84)","","","","","","30","5","0.02 ","0.72 ","44.00 ","1.15 ","1.75 ","1.52 "
"292","","","[Ni3(HCOO)6]","","400","293","4.6","4.6","25.00%","","BTDA-TDI/MDI (P84)","","","","","","30","5","0.02 ","0.72 ","44.00 ","2.01 ","1.99 ","0.99 "
"293","","","[Ni3(HCOO)6]","","400","293","4.6","4.6","35.00%","","BTDA-TDI/MDI (P84)","","","","","","30","5","0.02 ","0.72 ","44.00 ","8.28 ","2.33 ","0.28 "
"301","2019","37","UiO-66","","200","983","8","6","10.00%","","matrimid 5218","","","","","","","","0.32 ","12.80 ","40.50 ","2.01 ","2.03 ","1.01 "
"302","","","MOF-808-AA","","850","1982","18.4","18.4","10.00%","","matrimid 5218","","","","","","","","0.32 ","12.80 ","40.50 ","1.44 ","1.85 ","1.28 "
"303","","","MOF-808-PA","","650","1468","16.7","16.7","10.00%","","matrimid 5218","","","","","","","","0.32 ","12.80 ","40.50 ","1.22 ","1.25 ","1.02 "
"304","","","MOF-808-BA","","100","739","15.6","15.6","10.00%","","matrimid 5218","","","","","","","","0.32 ","12.80 ","40.50 ","1.51 ","1.76 ","1.16 "
"305","","","MOF-TFA","","150","1239","18.4","18.4","10.00%","","matrimid 5218","","","","","","","","0.32 ","12.80 ","40.50 ","1.16 ","1.95 ","1.68 "
"306","","","MOF-TFA","","150","1239","18.4","18.4","","","matrimid 5218","","","","","","","","0.32 ","12.80 ","40.50 ","0.92 ","1.67 ","1.83 "
"307","","","MOF-TFA","","150","1239","18.4","18.4","","","matrimid 5218","","","","","","","","0.32 ","12.80 ","40.50 ","1.02 ","1.94 ","1.90 "
"308","","","MOF-TFA","","150","1239","18.4","18.4","","","matrimid 5218","","","","","","","","0.32 ","12.80 ","40.50 ","1.10 ","2.15 ","1.95 "
"309","","","MOF-PFPA","","100","1089","16.7","16.7","10.00%","","matrimid 5218","","","","","","","","0.32 ","12.80 ","40.50 ","1.22 ","2.20 ","1.80 "
"310","","","MOF-HFBA","","100","622","13.8","13.8","10.00%","","matrimid 5218","","","","","","","","0.32 ","12.80 ","40.50 ","1.23 ","2.91 ","2.37 "
"313","2016","38","Mg-MOF-74","","11000","1250","11","11","10.00%","","PIM-1-TD","","50","","0.93","","25.0 ","2.0 ","536.00 ","6576.00 ","12.27 ","1.32 ","1.43 ","1.08 "
"314","","","Mg-MOF-74","","11000","1250","11","11","15.00%","","PIM-1-TD","","50","","1.07","","25.0 ","2.0 ","536.00 ","6576.00 ","12.27 ","1.62 ","2.29 ","1.42 "
"315","","","Mg-MOF-74","","11000","1250","11","11","20.00%","","PIM-1-TD","","50","","1.12","","25.0 ","2.0 ","536.00 ","6576.00 ","12.27 ","2.08 ","3.23 ","1.56 "
"316","","","Mg-MOF-74-a","","11000","1250","11","11","20.00%","","PIM-1-TD","acetic Acidic treatment","50","","0.82","","25.0 ","2.0 ","536.00 ","6576.00 ","12.27 ","1.50 ","1.14 ","0.76 "
"318","2013","39","TKL-107","","","1454","6","6","5.00%","","matrimid 5218","","65","","","","25","2","0.21 ","7.60 ","36.30 ","0.97 ","1.18 ","1.21 "
"319","","","TKL-107","","","1454","6","6","10.00%","","matrimid 5218","","65","","","","25","2","0.21 ","7.60 ","36.30 ","0.80 ","1.32 ","1.65 "
"320","","","TKL-107","","","1454","6","6","20.00%","","matrimid 5218","","65","","","","25","2","0.21 ","7.60 ","36.30 ","1.29 ","2.30 ","1.78 "
"321","","","TKL-107","","","1454","6","6","30.00%","","matrimid 5218","","65","","","","25","2","0.21 ","7.60 ","36.30 ","2.54 ","3.42 ","1.35 "
"323","2017","40","CuBDC","","27.5","180","5.2","5.2","0.20%","","PIM-1-TT","","0.2","","","","25","1","489.00 ","1770.00 ","3.00 ","0.11 ","0.32 ","3.47 "
"324","","","CuBDC","","27.5","180","5.2","5.2","5.00%","","PIM-1-TT","","0.2","","","","25","1","489.00 ","1770.00 ","3.00 ","0.07 ","0.33 ","4.25 "
"325","","","CuBDC","","27.5","180","5.2","5.2","10.00%","","PIM-1-TT","","0.2","","","","25","1","489.00 ","1770.00 ","3.00 ","0.05 ","0.23 ","5.22 "
"326","","","CuBDC","","27.5","180","5.2","5.2","15.00%","","PIM-1-TT","","0.2","","","","25","1","489.00 ","1770.00 ","3.00 ","0.09 ","0.27 ","3.73 "
"1 ","2017 ","1 ","ZIF-7","","55.0 ","350.0 ","7.50 ","3.00 ","5%","/","PEI","","400 ","dense","","N","3.0 ","2.0 ","18.90 ","82.50 ","3.78 ","0.26 ","0.78 ","4.50 "
"3 ","","","ZIF-7","","55.0 ","290.0 ","7.50 ","3.00 ","5%","link exchange with benzotriazole","PEI","","400 ","","","","3.0 ","2.0 ","18.90 ","82.50 ","3.78 ","5.71 ","2.98 ","0.36 "
"8 ","2013 ","3 ","ZIF-8","","80.0 ","1350.0 ","11.60 ","3.40 ","5%","","6FDA-Durene/DABA (9/1)","","50 ","","","","3.0 ","10.0 ","13.10 ","256.00 ","19.54 ","1.01 ","1.02 ","1.01 "
"9 ","","","ZIF-8","","80.0 ","1350.0 ","11.60 ","3.40 ","10%","","6FDA-Durene/DABA (9/1)","","50 ","","","","3.0 ","10.0 ","13.10 ","256.00 ","19.54 ","1.20 ","1.18 ","0.98 "
"10 ","","","ZIF-8","","80.0 ","1350.0 ","11.60 ","3.40 ","15%","","6FDA-Durene/DABA (9/1)","","50 ","","","","3.0 ","10.0 ","13.10 ","256.00 ","19.54 ","1.35 ","1.37 ","1.01 "
"11 ","","","ZIF-8","","80.0 ","1350.0 ","11.60 ","3.40 ","20%","","6FDA-Durene/DABA (9/1)","","50 ","","","","3.0 ","10.0 ","13.10 ","256.00 ","19.54 ","1.47 ","1.53 ","1.04 "
"12 ","","","ZIF-8","","80.0 ","1350.0 ","11.60 ","3.40 ","30%","","6FDA-Durene/DABA (9/1)","","50 ","","","","3.0 ","10.0 ","13.10 ","256.00 ","19.54 ","2.31 ","2.35 ","1.02 "
" ","","","ZIF-8","","80.0 ","1350.0 ","11.60 ","3.40 ","40%","","6FDA-Durene/DABA (9/1)","","50 ","","","","3.0 ","10.0 ","13.10 ","256.00 ","19.54 ","2.85 ","3.04 ","1.07 "
"15 ","2014 ","4 ","ZIF-8","","","","11.60 ","3.40 ","10%","","PBI-BuI","","","","","","35.00 ","20.00 ","0.04 ","2.30 ","25.56 ","1.25 ","1.22 ","0.78 "
"16 ","","","ZIF-8","","","","11.60 ","3.40 ","20%","","PBI-BuI","","","","","","35.00 ","20.00 ","0.04 ","2.30 ","25.56 ","2.00 ","1.67 ","0.83 "
"17 ","","","ZIF-8","","","","11.60 ","3.40 ","30%","","PBI-BuI","","","","","","35.00 ","20.00 ","0.04 ","2.30 ","25.56 ","3.00 ","2.27 ","0.62 "
"19 ","","","ZIF-8","","","","11.60 ","3.40 ","10%","","PBI-BuI-NC","","","","","","35.00 ","20.00 ","0.04 ","2.30 ","25.56 ","4.00 ","2.91 ","0.73 "
"20 ","","","ZIF-8","","","","11.60 ","3.40 ","20%","","PBI-BuI-NC","","","","","","35.00 ","20.00 ","0.04 ","2.30 ","25.56 ","7.00 ","3.91 ","0.55 "
"21 ","","","ZIF-8","","","","11.60 ","3.40 ","30%","","PBI-BuI-NC","","","","","","35.00 ","20.00 ","0.04 ","2.30 ","25.56 ","87.75 ","23.43 ","0.44 "
"23 ","","","ZIF-8","","","","11.60 ","3.40 ","10%","","PBI-BuI-N4","","","","","","35.00 ","20.00 ","0.04 ","2.30 ","25.56 ","120.00 ","26.17 ","0.51 "
"24 ","","","ZIF-8","","","","11.60 ","3.40 ","20%","","PBI-BuI-N4","","","","","","35.00 ","20.00 ","0.04 ","2.30 ","25.56 ","195.00 ","39.04 ","0.56 "
"24 ","2013 ","5 ","ZIF-8","","40.0 ","","11.60 ","3.40 ","11%","","PIM-1","","","","","","35.0 ","1.0 ","310.00 ","4390.00 ","24.39 ","1.03 ","1.10 ","0.79 "
"25 ","","","ZIF-8","","40.0 ","","11.60 ","3.40 ","28%","","PIM-1","","","","","","35.0 ","1.0 ","310.00 ","4390.00 ","24.39 ","0.74 ","0.97 ","0.90 "
"26 ","","","ZIF-8","","40.0 ","","11.60 ","3.40 ","36%","","PIM-1","","","","","","35.0 ","1.0 ","310.00 ","4390.00 ","24.39 ","1.65 ","1.55 ","0.74 "
"27 ","","","ZIF-8","","40.0 ","","11.60 ","3.40 ","43%","","PIM-1","","","","","","35.0 ","1.0 ","310.00 ","4390.00 ","24.39 ","1.39 ","1.44 ","0.74 "
"29 ","","","ZIF-8","EtOH","40.0 ","","11.60 ","3.40 ","28%","Treat with EtOH","PIM-1","","","","","","35.0 ","1.0 ","310.00 ","4390.00 ","24.39 ","4.65 ","3.88 ","0.64 "
"30 ","","","ZIF-8","MeOH","40.0 ","","11.60 ","3.40 ","43%","","PIM-1","","","","","","35.0 ","1.0 ","310.00 ","4390.00 ","24.39 ","8.58 ","4.41 ","0.45 "
"47 ","2014 ","9 ","ZIF-71","","100.0 ","679.0 ","16.50 ","4.20 ","10%","/","6FDA-Durene","","","","1.96 ","","35.0 ","3.5 ","58.60 ","959.00 ","14.71 ","1.91 ","1.88 ","1.01 "
"48 ","","","ZIF-71","","100.0 ","679.0 ","16.50 ","4.20 ","20%","/","6FDA-Durene","","","","1.73 ","","35.0 ","3.5 ","58.60 ","959.00 ","14.71 ","5.34 ","4.18 ","0.87 "
"49 ","","","ZIF-71","","100.0 ","679.0 ","16.50 ","4.20 ","30%","/","6FDA-Durene","","","","1.25 ","","35.0 ","3.5 ","58.60 ","959.00 ","14.71 ","13.87 ","8.08 ","0.78 "
"51 ","2011 ","10 ","ZIF-8","","4900.0 ","1550.0 ","11.80 ","3.40 ","10%","/","PPEES","","","","","","30.0 ","1.0 ","0.30 ","5.00 ","25.00 ","1.17 ","1.40 ","0.93 "
"52 ","","","ZIF-8","","4900.0 ","1550.0 ","11.80 ","3.40 ","20%","/","PPEES","","","","","","30.0 ","1.0 ","0.30 ","5.00 ","25.00 ","2.83 ","3.60 ","1.03 "
"53 ","","","ZIF-8","","4900.0 ","1550.0 ","11.80 ","3.40 ","30%","/","PPEES","","","","","","30.0 ","1.0 ","0.30 ","5.00 ","25.00 ","8.17 ","10.00 ","0.95 "
"55 ","2016 ","11 ","ZIF-11","","2500.0 ","","14.60 ","3.00 ","10%","/","Pebax2533","","150 ","","","","20.0 ","2.0 ","","","","#DIV/0!","#DIV/0!","#DIV/0!"
"56 ","","","ZIF-11","","2500.0 ","","14.60 ","3.00 ","30%","/","Pebax2533","","150 ","","","","20.0 ","2.0 ","26.00 ","230.00 ","38.33 ","0.77 ","0.78 ","1.24 "
"57 ","","","ZIF-11","","2500.0 ","","14.60 ","3.00 ","50%","/","Pebax2533","","150 ","","","","20.0 ","2.0 ","26.00 ","230.00 ","38.33 ","0.81 ","1.00 ","1.20 "
"58 ","","","ZIF-11","","2500.0 ","","14.60 ","3.00 ","70%","/","Pebax2533","","150 ","","","","20.0 ","2.0 ","26.00 ","230.00 ","38.33 ","1.23 ","1.76 ","0.81 "
"71 ","2019 ","14 ","ZIF-302","","2250.0 ","","","","","d-PI(dense)","PI","","36 ","","","","35.0 ","2.0 ","0.04 ","1.38 ","34.50 ","2.50 ","2.30 ","0.92 "
"72 ","","","ZIF-302","","2250.0 ","","","","","s-PI(self consistent)","PI","","194 ","","","","35.0 ","2.0 ","0.80 ","13.47 ","16.84 ","1.54 ","1.66 ","1.08 "
"74 ","2018 ","15 ","ZIF-8","","30.0 ","1821.0 ","11.80 ","3.40 ","8%","","P84","","20 ","","","","25.0 ","3.0 ","0.05 ","2.66 ","54.29 ","1.02 ","1.18 ","1.16 "
"75 ","","","ZIF-8","","30.0 ","1821.0 ","11.80 ","3.40 ","17%","","P84","","20 ","","","","25.0 ","3.0 ","0.05 ","2.66 ","54.29 ","1.39 ","2.38 ","1.71 "
"76 ","","","ZIF-8","","30.0 ","1821.0 ","11.80 ","3.40 ","27%","","P84","","20 ","","","","25.0 ","3.0 ","0.05 ","2.66 ","54.29 ","2.45 ","4.14 ","1.69 "
"77 ","","","ZIF-8","","30.0 ","1821.0 ","11.80 ","3.40 ","31%","","P84","","20 ","","","","25.0 ","3.0 ","0.05 ","2.66 ","54.29 ","9.02 ","7.54 ","0.84 "
"79 ","2015 ","16 ","ZIF-71","","","","16.50 ","4.20 ","10%","","PIM-1-TT","","60 ","","","","35.0 ","3.5 ","322.20 ","3294.70 ","10.23 ","1.17 ","1.30 ","1.11 "
"80 ","","","ZIF-71","","","","16.50 ","4.20 ","20%","","PIM-1-TT","","60 ","","","","35.0 ","3.5 ","322.20 ","3294.70 ","10.23 ","1.55 ","1.80 ","1.17 "
"81 ","","","ZIF-71","","","","16.50 ","4.20 ","30%","","PIM-1-TT","","60 ","","","","35.0 ","3.5 ","322.20 ","3294.70 ","10.23 ","2.33 ","2.54 ","1.09 "
"83 ","","","ZIF-71","","","","16.50 ","4.20 ","10%","","PIM-1-TT","","60 ","","","","35.0 ","3.5 ","36.20 ","1233.20 ","34.07 ","1.49 ","1.55 ","1.04 "
"84 ","","","ZIF-71","","","","16.50 ","4.20 ","20%","","PIM-1-TT","","60 ","","","","35.0 ","3.5 ","36.20 ","1233.20 ","34.07 ","1.99 ","2.06 ","1.04 "
"85 ","","","ZIF-71","","","","16.50 ","4.20 ","30%","","PIM-1-TT","","60 ","","","","35.0 ","3.5 ","36.20 ","1233.20 ","34.07 ","2.68 ","2.80 ","1.05 "
"87 ","2018 ","17 ","ZIF-8","","200.0 ","1500.0 ","11.80 ","3.40 ","10%","","PEGDA","","125 ","","","","35.0 ","","6.50 ","130.00 ","20.00 ","2.46 ","2.46 ","1.00 "
"88 ","","","ZIF-8","","200.0 ","1500.0 ","11.80 ","3.40 ","20%","","PEGDA","","125 ","","","","35.0 ","","6.50 ","130.00 ","20.00 ","4.52 ","3.85 ","0.85 "
"89 ","","","ZIF-8","","200.0 ","1500.0 ","11.80 ","3.40 ","30%","","PEGDA","","125 ","","","","35.0 ","","6.50 ","130.00 ","20.00 ","6.52 ","5.54 ","0.85 "
"90 ","","","ZIF-8","","200.0 ","1500.0 ","11.80 ","3.40 ","50%","","PEGDA","","125 ","","","","35.0 ","","6.50 ","130.00 ","20.00 ","16.67 ","10.00 ","0.60 "
"91 ","","","","","","","","","100%","","none","","125 ","","","","35.0 ","","6.50 ","130.00 ","20.00 ","42.31 ","25.38 ","0.60 "
"93 ","","","ZIF-8","","200.0 ","1500.0 ","11.80 ","3.40 ","10%","","PEGDA-co-PEGMEA","","125 ","","","","35.0 ","","19.00 ","330.00 ","17.37 ","1.53 ","1.70 ","1.11 "
"94 ","","","ZIF-8","","200.0 ","1500.0 ","11.80 ","3.40 ","20%","","PEGDA-co-PEGMEA","","125 ","","","","35.0 ","","19.00 ","330.00 ","17.37 ","2.74 ","2.55 ","0.93 "
"96 ","2020 ","18 ","ZIF-8","","90.0 ","1500.0 ","11.80 ","3.40 ","5%","","PEBAX-1074","","60 ","","","","25.0 ","3.0 ","5.80 ","65.00 ","11.21 ","1.14 ","1.20 ","1.05 "
"97 ","","","ZIF-8","","90.0 ","1500.0 ","11.80 ","3.40 ","10%","","PEBAX-1074","","60 ","","","","25.0 ","3.0 ","5.80 ","65.00 ","11.21 ","1.28 ","1.32 ","1.04 "
"98 ","","","ZIF-8","","90.0 ","1500.0 ","11.80 ","3.40 ","20%","","PEBAX-1074","","60 ","","","","25.0 ","3.0 ","5.80 ","65.00 ","11.21 ","1.31 ","1.40 ","1.07 "
"99 ","","","ZIF-8","","90.0 ","1500.0 ","11.80 ","3.40 ","30%","","PEBAX-1074","","60 ","","","","25.0 ","3.0 ","5.80 ","65.00 ","11.21 ","1.41 ","1.52 ","1.08 "
"100 ","","","ZIF-8","","90.0 ","1500.0 ","11.80 ","3.40 ","5%","Ethylendiamine (ED) modified","PEBAX-1074","","60 ","","","","25.0 ","3.0 ","5.80 ","65.00 ","11.21 ","1.02 ","1.26 ","1.24 "
"101 ","","","ZIF-8","","90.0 ","1500.0 ","11.80 ","3.40 ","10%","","PEBAX-1074","","60 ","","","","25.0 ","3.0 ","5.80 ","65.00 ","11.21 ","1.22 ","1.82 ","1.48 "
"102 ","","","ZIF-8","","90.0 ","1500.0 ","11.80 ","3.40 ","20%","","PEBAX-1074","","60 ","","","","25.0 ","3.0 ","5.80 ","65.00 ","11.21 ","1.59 ","2.54 ","1.60 "
"103 ","","","ZIF-8","","90.0 ","1500.0 ","11.80 ","3.40 ","30%","","PEBAX-1074","","60 ","","","","25.0 ","3.0 ","5.80 ","65.00 ","11.21 ","1.79 ","3.00 ","1.67 "
"107 ","2016 ","19 ","ZIF-108","","","384.0 ","16.40 ","5.50 ","5%","","P84","","","","","","30.0 ","3.0 ","0.10 ","7.10 ","72.40 ","4.19 ","4.13 ","0.98 "
"108 ","","","ZIF-108","","","384.0 ","16.40 ","5.50 ","10%","","P84","","","","","","30.0 ","3.0 ","0.10 ","7.10 ","72.40 ","2.40 ","5.76 ","2.40 "
"109 ","","","ZIF-108","","","384.0 ","16.40 ","5.50 ","16%","","P84","","","","","","30.0 ","3.0 ","0.10 ","7.10 ","72.40 ","16.35 ","14.37 ","0.88 "
"110 ","","","ZIF-108","","","384.0 ","16.40 ","5.50 ","23%","","P84","","","","","","30.0 ","3.0 ","0.10 ","7.10 ","72.40 ","448.77 ","14.07 ","0.03 "
"111 ","","","ZIF-108","","","384.0 ","16.40 ","5.50 ","59%","","P84","","","","","","30.0 ","3.0 ","0.10 ","7.10 ","72.40 ","2588.52 ","23.24 ","0.01 "
"113 ","2017 ","20 ","ZIF-8","","151.0 ","1315.0 ","11.60 ","3.40 ","2 ","","Pebax1657","","13 ","","","","30.0 ","2.0 ","39.00 ","152.00 ","3.90 ","0.53 ","1.71 ","3.25 "
"114 ","","","ZIF-8","","66.0 ","1637.0 ","11.60 ","3.40 ","8 ","","Pebax1657","","13 ","","","","30.0 ","2.0 ","39.00 ","152.00 ","3.90 ","0.51 ","1.74 ","3.40 "
"115 ","","","ZIF-8","","44.0 ","1792,","11.60 ","3.40 ","32 ","","Pebax1657","","13 ","","","","30.0 ","2.0 ","39.00 ","152.00 ","3.90 ","0.54 ","1.88 ","3.48 "
"117 ","","","ZIF-8","","151.0 ","1315.0 ","11.60 ","3.40 ","2 ","","Pebax1657","","13 ","","","","30.0 ","2.0 ","22.00 ","142.00 ","6.45 ","0.82 ","1.58 ","1.94 "
"118 ","","","ZIF-8","","66.0 ","1637.0 ","11.60 ","3.40 ","8 ","","Pebax1657","","13 ","","","","30.0 ","2.0 ","22.00 ","142.00 ","6.45 ","0.86 ","1.75 ","2.03 "
"119 ","","","ZIF-8","","44.0 ","1792.0 ","11.60 ","3.40 ","32 ","","Pebax1657","","13 ","","","","30.0 ","2.0 ","22.00 ","142.00 ","6.45 ","0.73 ","1.77 ","2.43 "
"121 ","2017 ","21 ","ZIF-8","","50.0 ","1500.0 ","11.60 ","3.40 ","5%","","6FDA-Durene","","","","","","30.0 ","3.5 ","66.57 ","468.01 ","7.03 ","0.63 ","1.48 ","2.35 "
"122 ","","","ZIF-8","","50.0 ","1500.0 ","11.60 ","3.40 ","10%","","6FDA-Durene","","","","","","30.0 ","3.5 ","66.57 ","468.01 ","7.03 ","0.75 ","3.05 ","4.08 "
"123 ","","","ZIF-8","","50.0 ","1500.0 ","11.60 ","3.40 ","15%","","6FDA-Durene","","","","","","30.0 ","3.5 ","66.57 ","468.01 ","7.03 ","1.95 ","3.13 ","1.61 "
